WPS Index Rank,Country,Code,"Women, Peace, and Security Index",Region,Education,Employment,Financial Inclusion,Cell Phone Use,Parliamentary Representation,Absence of Legal Discrimination,Access to Justice,Maternal Mortality Ratio,Son Bias,Intimate partner violence ,Community Safety,Political Violence Targeting Women,Proximity to Conflict
128,Namibia,NAM,0.608,SSA,7.5,60.1,69.3,79,32.6,80,2.9,139,101.1,15.9,44,0.2,0
131,India,IND,0.607,SA,6.2,42.2,77.6,68,14.7,74.4,2.1,80,107.1,18.4,68,0,15
131,Philippines,PHL,0.607,EAP,9.1,62.3,47.4,91,28.2,78.8,2.7,84,107.7,5.9,58,0.1,71.4
133,Angola,AGO,0.601,SSA,4.5,78.6,22.3,71,39.1,79.4,2.4,183,102.8,24.7,58,0,2.3
133,Sierra Leone,SLE,0.601,SSA,2.4,62.6,24.8,52,29.5,92.5,2.8,354,103.4,19.8,50,0,0
135,Comoros,COM,0.59,"SSA, FS",5.2,61.1,29.3,65,15.2,65,1,179,103.2,8.2,60,0,0
135,Zimbabwe,ZWE,0.59,"SSA, FS",8.1,66.2,54,82,33.2,86.9,2.4,358,102.5,18.2,33,0.1,0
137,Côte d'Ivoire,CIV,0.589,SSA,4,71.7,37.4,85,16.5,95,2.1,359,103,16.4,60,0,0
138,Benin,BEN,0.587,SSA,2,86.2,39.8,75,26.6,83.8,2.9,518,104.2,14.6,58,0.1,0
138,Uganda,UGA,0.587,SSA,5.2,80.1,65.1,68,34.1,83.8,1.9,170,102.9,26.1,44,0.1,16.3
140,Congo,COG,0.583,"SSA, FS",7.3,57.1,43.8,67,20.2,58.1,1.5,241,102.6,18.5,45,0,0
141,Lebanon,LBN,0.575,"MENA, FS",13.1,30.9,16.6,90,6.3,58.8,1.9,15,105.3,14.7,44,0,100
142,Zambia,ZMB,0.566,SSA,6.6,66.5,45,74,15,81.3,2.1,85,101.1,27.8,35,0,0
143,Togo,TGO,0.562,SSA,4.5,83.8,44.3,77,18.4,97.5,1.2,349,102.8,12.7,43,0,16.4
144,Guatemala,GTM,0.561,LAC,5.3,58.9,34.3,79,20,73.8,1.4,94,103.9,7.3,46,0.1,36
144,Honduras,HND,0.561,LAC,6.8,44.6,28.9,83,27.3,75,1.9,47,105.1,7.2,54,0.7,63.6
146,Djibouti,DJI,0.56,MENA,2.7,16,8.8,66.2,26.2,71.3,2.2,162,103.7,17.5,58.5,0,0
147,Mexico,MEX,0.558,LAC,9.1,55.6,42.3,81,50.2,88.8,1.8,42,103.9,9.9,41,0.7,87.8
148,Eswatini,SWZ,0.556,SSA,8.5,42.6,69.2,85,28.8,46.3,1.7,118,102.9,17.7,32,0,100
149,Colombia,COL,0.551,LAC,9,57.9,56.2,88,30.1,84.4,2.2,59,104.6,11.9,42,0.4,93.2
150,Malawi,MWI,0.549,SSA,4.3,71.3,38.1,59,20.7,80,2.5,225,101.4,16.6,46,0,0
151,Mozambique,MOZ,0.548,"SSA, FS",3.7,80.9,38.7,58,39.2,82.5,1.6,82,102,16.4,45,0.1,46.5
152,Kenya,KEN,0.542,SSA,8,66.3,75.4,90,24.6,83.8,2.2,379,102.1,22.8,40,0.2,20.9
153,Gambia,GMB,0.528,SSA,3.7,55.3,28.1,80,8.6,69.4,3.2,354,103.2,10,39,0.1,9.3
154,Guinea,GIN,0.527,SSA,1.5,49.8,24,83,29.6,73.8,1.5,494,104.5,20.8,56,0,0
155,Bangladesh,BGD,0.526,SA,6.2,40.8,43.5,72,20,49.4,1.5,115,104.9,23.2,72,0,86.1
156,Ethiopia,ETH,0.516,"SSA, FS",1.6,62.3,38.7,44,39.1,80,2.2,195,105.5,26.5,52,0,67.6
157,Liberia,LBR,0.512,SSA,3.9,52.5,44.2,63,10.7,81.3,2.6,628,103.8,26.9,29,0,41.6
158,Iraq,IRQ,0.51,"MENA, FS",5.6,11,14.9,85,28.9,48.1,1.4,66,105.7,15.1,67,0.1,56.8
159,Guinea-Bissau,GNB,0.508,"SSA, FS",2.5,70.2,31.4,58.5,9.8,51.9,1.7,505,104,21.2,47.8,0,0
160,Burkina Faso,BFA,0.507,"SSA, FS",1.6,74.8,30.7,80,18.3,82.5,2.2,242,104.2,11.2,63,0.3,84.8
160,Papua New Guinea,PNG,0.507,"EAP, FS",4.3,60.7,58.6,77.4,2.7,60,2.4,189,107.6,30.6,64.8,0.3,16
162,Nigeria,NGA,0.495,"SSA, FS",6.6,87.9,35,85,3.6,66.3,2.6,993,103.8,13.2,51,0.1,60.1
163,Niger,NER,0.492,"SSA, FS",1,79,10.2,43,19.6,53.8,3,350,104,12.9,63,0.1,29.8
164,Mali,MLI,0.478,"SSA, FS",1.1,47.2,41.2,70,30.4,63.8,2.3,367,103.3,18.4,67,0.1,66.4
165,Chad,TCD,0.476,"SSA, FS",1.3,57.5,22.6,49,35,66.3,1.3,748,104.2,16.2,43,0,18.6
166,Mauritania,MRT,0.475,SSA,4.2,33.9,16.1,78,23.3,48.1,0.8,381,103.3,18.3,60,0,57
167,Palestine ,PSE,0.469,"MENA, FS",10.2,16.9,25.9,94,21,26.3,2.5,16,105.1,19.1,56,1.1,100
168,Madagascar,MDG,0.466,SSA,4.3,76.1,25.2,39,13.8,69.4,1.8,445,103.8,21.9,38,0.3,0
169,Pakistan,PAK,0.462,SA,3.9,25.3,13.5,28,17.4,58.8,2.3,155,105.5,16.2,41,0,42.8
170,Somalia,SOM,0.455,"MENA, FS",0.9,23,33.7,87,20.1,46.9,2,563,104.4,19.8,82,0.1,45.2
171,Cameroon,CMR,0.451,"SSA, FS",5.7,70.1,49.3,76,33.6,60,2.3,258,103,22,41,1.3,89.4
172,Myanmar,MMR,0.442,"EAP, FS",6.1,52.7,46.2,94,15,58.8,1,185,106.6,10.7,38,0.4,100
173,South Sudan,SSD,0.411,"SSA, FS",4.8,58.5,4.2,58.5,32.3,67.5,1.3,692,103.5,26.7,43,0.5,42.2
174,Burundi,BDI,0.407,"SSA, FS",2.8,89.9,6.7,58.5,38.9,76.3,1.1,392,102.5,22.1,62,0.4,100
175,Democratic Republic of the Congo,COD,0.405,"SSA, FS",6.1,69.2,20.5,35,13.5,78.8,1.3,427,102.3,35.6,45,0.1,31.3
176,Haiti,HTI,0.399,"LAC, FS",4.8,54.3,30,75.5,2.5,61.3,1.1,328,103.1,12.2,45,0.8,81.8
177,Sudan,SDN,0.397,"MENA, FS",4.2,15.6,10,62,22.1,32.5,1.3,256,104.1,16.7,52.2,0.4,63.4
178,Syrian Arab Republic,SYR,0.364,"MENA, FS",5.1,46.4,19.6,69.1,9.6,40,0.7,20,105.3,19,17,0.9,97.1
179,Central African Republic,CAF,0.362,"SSA, FS",2.6,58.5,9.7,58.5,11.4,77.5,1.5,692,103.2,20.9,50,0.4,86.1
180,Yemen,YEM,0.323,"MENA, FS",3.6,5.5,5.4,52,0.3,26.9,0.8,118,105.9,19.8,43,0.1,71.3
181,Afghanistan,AFG,0.279,"SA, FS",1.2,25.1,4.7,43,27.2,31.9,0.2,521,105.1,34.7,25,0.3,68.2
